timestamp, index, uuid, memory.used [MiB]
2026/09/16 11:00:16.752, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1754 MiB
2026/09/16 11:00:16.853, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1754 MiB
2026/09/16 11:00:16.953, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1754 MiB
2026/09/16 11:00:17.053, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1754 MiB
2026/09/16 11:00:17.154, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1754 MiB
2026/09/16 11:00:17.254, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1754 MiB
2026/09/16 11:00:17.354, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1754 MiB
2026/09/16 11:00:17.454, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1754 MiB
2026/09/16 11:00:17.555, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1754 MiB
2026/09/16 11:00:17.655, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1754 MiB
2026/09/16 11:00:17.755, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1754 MiB
2026/09/16 11:00:17.855, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1754 MiB
2026/09/16 11:00:17.956, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1754 MiB
2026/09/16 11:00:18.056, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1754 MiB
2026/09/16 11:00:18.156, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1754 MiB
2026/09/16 11:00:18.257, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1754 MiB
2026/09/16 11:00:18.357, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1754 MiB
2026/09/16 11:00:18.457, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1753 MiB
2026/09/16 11:00:18.557, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1753 MiB
2026/09/16 11:00:18.658, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1753 MiB
2026/09/16 11:00:18.758, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1753 MiB
2026/09/16 11:00:18.858, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1753 MiB
2026/09/16 11:00:18.958, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1753 MiB
2026/09/16 11:00:19.059, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1753 MiB
2026/09/16 11:00:19.159, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1753 MiB
2026/09/16 11:00:19.259, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1753 MiB
2026/09/16 11:00:19.359, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1753 MiB
2026/09/16 11:00:19.460, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1753 MiB
2026/09/16 11:00:19.560, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1753 MiB
2026/09/16 11:00:19.660, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1753 MiB
2026/09/16 11:00:19.760, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1753 MiB
2026/09/16 11:00:19.860, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1753 MiB
2026/09/16 11:00:19.961, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1753 MiB
2026/09/16 11:00:20.061, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1753 MiB
2026/09/16 11:00:20.161, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1753 MiB
2026/09/16 11:00:20.261, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1753 MiB
2026/09/16 11:00:20.362, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1753 MiB
2026/09/16 11:00:20.462, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1753 MiB
2026/09/16 11:00:20.562, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1753 MiB
2026/09/16 11:00:20.662, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1753 MiB
2026/09/16 11:00:20.763, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1753 MiB
2026/09/16 11:00:20.863, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1753 MiB
2026/09/16 11:00:20.963, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1753 MiB
2026/09/16 11:00:21.063, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1753 MiB
2026/09/16 11:00:21.164, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1753 MiB
2026/09/16 11:00:21.264, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1753 MiB
2026/09/16 11:00:21.364, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1753 MiB
2026/09/16 11:00:21.465, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1753 MiB
2026/09/16 11:00:21.565, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1753 MiB
2026/09/16 11:00:21.665, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1753 MiB
2026/09/16 11:00:21.765, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1753 MiB
2026/09/16 11:00:21.866, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1753 MiB
2026/09/16 11:00:21.966, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1753 MiB
2026/09/16 11:00:22.066, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1753 MiB
2026/09/16 11:00:22.166, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1753 MiB
2026/09/16 11:00:22.267, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1753 MiB
