timestamp, index, uuid, memory.used [MiB]
2026/09/16 11:17:49.005, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1785 MiB
2026/09/16 11:17:49.105, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1785 MiB
2026/09/16 11:17:49.206, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1785 MiB
2026/09/16 11:17:49.306, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1785 MiB
2026/09/16 11:17:49.406, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1785 MiB
2026/09/16 11:17:49.514, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1785 MiB
2026/09/16 11:17:49.614, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1785 MiB
2026/09/16 11:17:49.714, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1753 MiB
2026/09/16 11:17:49.815, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1753 MiB
2026/09/16 11:17:49.915, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1753 MiB
2026/09/16 11:17:50.015, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1753 MiB
2026/09/16 11:17:50.115, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1753 MiB
2026/09/16 11:17:50.216, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1753 MiB
2026/09/16 11:17:50.316, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1753 MiB
2026/09/16 11:17:50.416, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1753 MiB
2026/09/16 11:17:50.517, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1753 MiB
2026/09/16 11:17:50.617, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1753 MiB
2026/09/16 11:17:50.717, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1753 MiB
2026/09/16 11:17:50.817, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1753 MiB
2026/09/16 11:17:50.918, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1753 MiB
2026/09/16 11:17:51.018, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1753 MiB
2026/09/16 11:17:51.122, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1753 MiB
2026/09/16 11:17:51.223, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1753 MiB
2026/09/16 11:17:51.323, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1753 MiB
2026/09/16 11:17:51.423, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1753 MiB
2026/09/16 11:17:51.523, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1753 MiB
2026/09/16 11:17:51.624, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1753 MiB
2026/09/16 11:17:51.724, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1753 MiB
2026/09/16 11:17:51.824, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1753 MiB
2026/09/16 11:17:51.924, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1753 MiB
2026/09/16 11:17:52.025, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1753 MiB
2026/09/16 11:17:52.125, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1753 MiB
2026/09/16 11:17:52.225, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1753 MiB
2026/09/16 11:17:52.325, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1753 MiB
2026/09/16 11:17:52.426, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1753 MiB
2026/09/16 11:17:52.526, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1764 MiB
2026/09/16 11:17:52.626, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 2034 MiB
2026/09/16 11:17:52.726, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 2452 MiB
2026/09/16 11:17:52.827, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 2910 MiB
2026/09/16 11:17:52.927, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 3388 MiB
2026/09/16 11:17:53.027, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 3790 MiB
2026/09/16 11:17:53.127, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 4200 MiB
2026/09/16 11:17:53.228, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 4680 MiB
2026/09/16 11:17:53.328, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 5160 MiB
2026/09/16 11:17:53.428, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 5652 MiB
2026/09/16 11:17:53.528, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 6132 MiB
2026/09/16 11:17:53.629, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 6618 MiB
2026/09/16 11:17:53.729, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 7118 MiB
