timestamp, index, uuid, memory.used [MiB]
2026/09/16 11:32:42.547, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1865 MiB
2026/09/16 11:32:42.647, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1865 MiB
2026/09/16 11:32:42.747, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1865 MiB
2026/09/16 11:32:42.847, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1865 MiB
2026/09/16 11:32:42.948, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1865 MiB
2026/09/16 11:32:43.048, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1865 MiB
2026/09/16 11:32:43.148, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1865 MiB
2026/09/16 11:32:43.249, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1865 MiB
2026/09/16 11:32:43.349, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1865 MiB
2026/09/16 11:32:43.449, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1865 MiB
2026/09/16 11:32:43.550, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1865 MiB
2026/09/16 11:32:43.650, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1865 MiB
2026/09/16 11:32:43.750, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1865 MiB
2026/09/16 11:32:43.851, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1865 MiB
2026/09/16 11:32:43.951, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1865 MiB
2026/09/16 11:32:44.051, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1865 MiB
2026/09/16 11:32:44.151, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1865 MiB
2026/09/16 11:32:44.252, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1865 MiB
2026/09/16 11:32:44.352, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1865 MiB
